x y z sxx syy szz sxy sxz syz pp
1301.7 886.083 1746.33 -372582 -718359 -777826 -16738.2 -161513 60624.5 0
1300.7 882.312 1748.95 -834564 -672386 -341263 -2637.29 -90689.5 -27138 0
1302.53 883.464 1746.67 -305312 -633216 -727429 -57352.7 -40683 17958.6 243663
1302.82 885.793 1745.5 -1.03138e+06 -1.25069e+06 -1.66284e+06 -77066.1 -463100 -16623.2 254800
1301.4 887.405 1745.7 -345169 -301274 -278057 -14108.3 -107879 -27329 0
1301.36 887.827 1748.12 -1.29274e+06 -1.0056e+06 -686256 58203.4 252154 63132.5 0
1301.24 886.505 1748.93 -1.12395e+06 -749129 -416124 1916.69 32768.1 60999.5 0
1304.1 882.666 1748.04 -923049 -1.19188e+06 -1.60163e+06 -128850 -26393.4 25956.7 239194
1300.84 883.196 1749.3 -628375 -496065 -235551 -73680.9 -111633 -718.687 0
1301.38 886.297 1745.93 -44194.9 -147783 -62017.6 -56807 -52666.6 -21976.6 0
1301.43 882.087 1745.55 -158023 -426535 -480603 -75463.2 2121.33 -6509.17 0
1304.14 887.81 1748.42 -837445 -1.05656e+06 -1.35757e+06 -77031.7 -24173.3 102752 231686
1301.75 885.972 1748.79 -884672 -757652 -593601 -22075.6 99282.7 110726 108903
1303.45 884.61 1747.87 -689814 -969843 -1.19092e+06 -83929.6 25700.2 81805.7 235871
1301.51 883.523 1746.49 -107727 -524330 -499644 -98449 -42104.1 22006.9 0
1303.14 882.558 1748.82 -864018 -1.02197e+06 -1.12279e+06 -134171 108025 16159.7 226453
1301.92 886.332 1748.8 -798049 -724997 -535102 -35157.9 68357.1 125458 163106
1301.5 884.049 1749.19 -846149 -666324 -341056 -64189.2 -24137.8 78060.2 53219.1
1300.74 885.984 1748.91 -1.10253e+06 -782644 -518712 -77379 -47630.6 1347.12 0
1302.8 887.047 1746.26 -803019 -1.09001e+06 -1.46367e+06 -36803.9 -243396 94378.3 246260
1302.22 886.308 1748.79 -666710 -733536 -556118 -62387.9 19848.7 114977 218984
