x y z fx fy fz
1301.04 875.668 1744.74 -2231.78 -12146.7 36010.5
1299.46 869.122 1749.06 5210.74 -315.93 -4800.77
1298.97 863.945 1748.5 3694.63 8322.01 -4036.34
1300.96 880.284 1748.76 12390.4 14711.4 -24531
1300.93 893.274 1746.5 -1366.08 7634.88 -13094.2
1301.3 884.201 1747.97 -1464.77 3352.49 -2872.58
1300.8 873.058 1745.55 -2197.24 128.316 -23333.5
1301.25 879.675 1746.45 2185.63 -3827.88 4964.41
1298.15 909.789 1749.09 303.564 4086.5 -12217.2
1295.94 873.069 1744.42 40848.1 -5954.37 -622.539
1298.86 872.139 1749.68 13322.2 -330.265 -3017.8
1300.02 866.961 1745.05 -1226.67 -4177.31 8708.79
1298.52 869.716 1749.6 -11918.6 1158.74 3999.64
1298.74 861.089 1747.78 87.8509 4497.9 912.102
1295.64 871.378 1744.75 -513.292 1092.63 4056.06
1300.4 895.817 1745.33 -13574.5 3431.04 -5163.94
1300.02 880.691 1749.76 16336.9 7381.69 -13136.6
1299.09 861.924 1746.2 -10567.6 1944.44 -1226.49
1299.74 865.303 1745.71 -2417.41 -9383.01 -3346.16
1295.62 871.336 1746.72 -683.44 -2365.47 5131.15
1300.84 876.347 1748.45 -12246.5 -1601.78 28008.2
1301.07 876.651 1747.58 1959.52 8932.31 -18401.1
1300.1 867.595 1747.21 2005.1 5637.48 -8246.65
1299.89 866.492 1747.54 -871.307 685.76 4033.05
1296.38 881.307 1748.12 4453 -2980.36 -116.897
1297.2 869.377 1749.57 5380.73 -3282.83 2866.78
1300.65 896.263 1745.81 338.132 -738.65 1692.03
1299.71 865.071 1744.3 -257.568 -874.713 -2556.51
1300.23 899.243 1748.04 741.348 7662.77 -13153.1
1295.02 867.099 1746.19 12727.3 -7862.14 855.921
1301.1 876.873 1746.7 -686.02 4117.87 13644.2
1301.33 883.211 1745.94 991.219 4561.48 14223.9
1300.19 868.131 1746.09 -3905 1563.44 -10985.6
1300.32 869.032 1746.13 -1316.67 -1178.11 -22333.7
1301.2 878.573 1746.19 -5125.71 -8601.01 -3519.12
1299.9 866.251 1745.61 2191.41 1217.47 -11502.2
1296.37 884.455 1746.94 -1105.07 1464.08 -1287.8
1295.9 873.879 1747.53 -100.577 1698.08 3467.82
1295.99 874.721 1745.37 845.955 2863.86 -3322.24
1301.21 879.13 1747.26 -1310.49 -3585.34 24308.3
1301.22 889.238 1745.24 -9.65502 19525.5 -21350.4
1294.46 863.923 1744.52 248.402 -2121.34 -67.243
1300.08 867.389 1745.33 -1166.32 -977.304 22200.9
1296.33 880.57 1745.98 180.882 829.582 -805.37
1296.29 879.17 1744.85 361.417 -2728 -8458.2
1300.55 896.75 1747.96 -7501.1 6409.03 8842.51
1296.52 863.917 1749.42 8115.34 -12480.7 -4860.94
1301.27 883.666 1748.14 -3123.66 7512.92 13323.7
1301.15 883.166 1748.58 -7538.52 413.99 25775.7
1296.48 880.771 1748.49 1564.68 7546.32 7619.1
1300 899.793 1749.14 -4934.68 -7890.39 3271.65
1299.72 865.156 1745.03 -1149.83 -7647.74 18516.8
1300.25 874.198 1749.03 -12278.8 -7811.47 11828.2
1301.02 892.43 1745.32 -320.277 10184.8 -25515.6
1296.61 864.77 1749.43 -3069.83 1109.07 -909.919
1300.55 896.749 1747.88 -2043.19 -5307.73 4202.1
1295.93 872.029 1744.38 -7695.9 12592.2 -3591.29
1300.77 894.909 1747.11 -1550.91 -7409.91 19996.9
1296.91 883.354 1749.26 4347.69 2780.47 7007.04
1296.93 873.465 1749.38 8318.8 -2416.98 6998.97
1300.55 896.466 1748.57 3675.24 393.079 1144.51
1299.47 863.835 1746.98 -2097.58 -6645.76 10884.1
1296.01 869.147 1748.86 1124.61 1804.41 2605.1
1296.82 878.545 1749.14 -19432.9 -1519.1 -22046.6
1295.69 871.817 1745.28 -46.4418 1064.94 5502.56
1299.25 862.647 1744.45 -379.118 -4787.48 -9923.46
1301.34 884.279 1745.18 7.66099 7384.67 -16025.4
