x y z nx ny nz state
1300.8 873.633 1747.19 -0.147656 -0.950661 0.272839 1
1300.79 873.663 1747.21 -0.462187 -0.135711 0.876337 1
1300.75 873.467 1745.56 0.337814 -0.283776 0.897415 1
1300.91 892.217 1747.9 0.506403 0.659339 -0.555723 1
1301.18 880.405 1747.28 -0.972475 -0.0263105 -0.231515 1
1301.2 880.395 1747.32 -0.470155 -0.262302 0.842705 1
1300.52 894.623 1748.3 0.350768 0.831388 -0.430994 1
1301.28 884.732 1745.9 -0.432262 0.463332 -0.773611 1
1301.29 884.732 1745.96 -0.0902099 0.468127 0.879044 1
1300.24 869.301 1746.11 -0.924986 0.226398 -0.305196 1
1300.26 869.33 1746.12 -0.253079 0.96183 -0.104083 1
1300.78 883.592 1749.15 0.891495 0.436233 -0.122221 1
1301.01 880.996 1747.4 0.427568 0.555082 0.713491 1
1300.9 892.936 1747.78 0.0252601 -0.5295 0.847933 1
1300.87 892.97 1747.77 -0.625106 0.304586 0.718658 1
1300.9 892.943 1747.71 0.101667 -0.3609 -0.927046 1
1300.89 892.993 1747.72 -0.00841334 0.86274 -0.505578 1
1295.82 895.354 1748.49 0.756877 -0.229517 -0.611931 1
1295.82 895.343 1748.53 0.758762 -0.517734 0.395263 1
1300.47 895.564 1748.99 0.324052 -0.426507 0.844442 1
1301.11 889.538 1747.58 -0.37756 -0.741885 0.554126 1
1301.1 889.587 1747.53 -0.618383 0.413672 -0.66819 1
1301.12 889.559 1747.52 0.0494694 -0.238225 -0.969949 1
1296.29 892.592 1746.81 0.817867 -0.0652783 0.571692 1
1296.25 892.56 1746.78 -0.323394 -0.905062 -0.276185 1
1296.23 892.579 1746.81 -0.774375 -0.402389 0.488288 1
1301.01 891.021 1747.88 -0.71359 -0.563762 -0.415887 1
1301 876.777 1747.6 0.895687 0.31894 0.309875 1
1300.51 896.657 1747.03 0.466692 0.713338 0.522827 1
1300.12 899.574 1747.75 -0.497206 -0.860056 -0.114408 1
1300.68 873.954 1748.17 0.00751455 0.799309 0.600873 1
1301.22 881.076 1747.78 -0.016452 0.208941 0.97779 1
1301.23 881.109 1747.74 0.104079 0.974435 0.199106 1
1300.71 873.05 1745.55 -0.944626 -0.299193 0.134782 1
1300.23 898.379 1748.76 0.66079 -0.72386 0.198454 1
1300.23 897.713 1748.99 0.736576 -0.433388 0.51926 1
1300.96 892.105 1745.71 0.700263 -0.201822 0.684762 1
1296.38 893.95 1749.55 0.116851 -0.985449 -0.123438 1
1299.38 902.752 1748.51 0.597597 -0.229907 0.768128 1
1301.22 880.08 1746.14 0.00696801 -0.84122 -0.540649 1
1301.23 880.132 1746.13 0.0714327 0.413115 -0.907873 1
1301.23 880.152 1746.18 0.0785409 0.893994 0.441142 1
1300.71 873.999 1748.08 -0.165887 0.982742 -0.0818486 1
1300.67 873.964 1748.07 -0.9019 0.172642 -0.395944 1
1300.73 873.96 1748.04 0.324522 0.0882658 -0.941751 1
1300.19 898.837 1748.65 0.720921 0.468177 -0.510964 1
1296.21 892.85 1746.75 0.626127 0.742306 -0.238635 1
1300.26 898.294 1747.67 0.426476 -0.229481 0.874904 1
1301.02 877.393 1746.11 0.529544 0.756876 0.383042 1
1300.97 880.421 1747.64 -0.634952 0.715269 0.291936 1
1300.97 880.383 1747.66 -0.607453 -0.211906 0.765569 1
1301.21 880.152 1747.2 0.0279028 0.954283 0.297601 1
1300.02 867.766 1747.6 -0.098003 0.284488 -0.953657 1
1300.96 875.717 1745.51 0.827522 0.210829 -0.520345 1
1300.96 875.695 1745.56 0.716083 -0.31799 0.621375 1
1300.53 871.329 1746.22 0.757695 -0.636878 -0.142422 1
1300.92 888.09 1747.42 -0.0253738 -0.414889 0.909518 1
1300.96 888.12 1747.4 0.911578 0.337782 0.234371 1
1301.07 889.975 1747.13 -0.855297 -0.517899 0.0157436 1
1299.96 880.682 1749.72 -0.95226 -0.294221 -0.08145 1
1300.8 877.574 1748.59 -0.654581 -0.672988 -0.3444 1
1301.12 878.753 1746.46 0.900577 -0.353827 -0.252521 1
1300.52 895.225 1748.2 -0.567223 -0.231208 0.790443 1
1301.17 887.138 1748.33 0.258748 -0.341238 -0.903663 1
1295.88 894.705 1747.26 -0.872139 0.244463 -0.423806 1
1295.89 894.67 1747.28 -0.732901 -0.67868 0.0474348 1
1299.03 861.96 1746.19 -0.630418 0.711156 -0.311177 1
1300.79 876.349 1748.41 -0.541399 -0.0364141 -0.839977 1
1300.82 876.38 1748.42 0.283081 0.769009 -0.573141 1
1299.85 898.513 1749.34 -0.67382 0.698021 -0.242348 1
1299.76 901.329 1746.53 -0.68367 0.293355 -0.668235 1
1301.02 876.688 1747.61 -0.130854 0.767625 0.627399 1
1300.81 873.955 1745.64 0.670735 -0.705918 -0.227584 1
1300.03 867.591 1747.23 -0.839261 -0.270139 0.471874 1
1300.06 867.632 1747.23 0.0367375 0.861895 0.505754 1
1301.25 887.369 1745.61 0.0385075 0.59385 -0.803654 1
1301.21 887.354 1745.65 -0.907315 0.200992 0.369299 1
1295.86 897.657 1745.41 -0.756377 0.425901 -0.49649 1
1299.95 900.95 1746.3 0.32917 0.850839 -0.409536 1
1300.18 868.572 1746.77 0.726609 -0.213423 0.653061 1
1299.75 865.744 1745.39 0.828995 0.209332 -0.518602 1
1300.49 873.484 1748.09 0.632562 0.436227 -0.639978 1
1301.26 883.888 1745.72 0.916785 -0.163866 0.364217 1
1300.33 869.869 1746.12 -0.50895 -0.425495 -0.748281 1
1300.37 869.885 1746.12 0.387849 -0.0224255 -0.92145 1
1300.12 871.023 1748.56 0.882319 -0.177338 -0.435964 1
1301.16 879.421 1746.86 0.620673 0.66983 0.407545 1
1298.81 861.723 1745.97 -0.00961729 0.471908 -0.881595 1
1300.23 896.622 1749.03 -0.650704 0.633618 0.418465 1
1300.19 899.265 1748.01 -0.0626287 0.706549 -0.704887 1
1299.98 867.743 1746.23 0.0993645 -0.298373 0.949263 1
1293.52 909.027 1745.84 -0.412775 -0.226014 -0.882346 1
1293.55 909.054 1745.85 0.356818 0.474935 -0.804437 1
1300.47 870.852 1747.06 0.833821 -0.551487 0.0245802 1
1300.47 870.885 1747.04 0.797743 0.223618 -0.560001 1
1301.26 882.504 1746.12 -0.573301 -0.405121 -0.712182 1
1294.66 902.896 1748.33 -0.1655 0.650189 0.741528 1
1300.09 868.011 1746.96 0.669886 -0.707318 0.22573 1
1301.07 877.956 1747.78 -0.705196 0.592466 -0.389465 1
1296.44 892.779 1749.38 -0.589479 0.39107 0.706809 1
1301.03 876.843 1746.69 -0.607415 -0.778186 -0.159608 1
1301.02 876.885 1746.67 -0.777595 0.200361 -0.595987 1
1301.25 883.218 1745.95 -0.864412 0.145775 0.481188 1
1299.64 901.303 1748.92 0.889535 -0.0776516 0.450221 1
1300.15 868.112 1746.11 -0.10309 -0.69912 0.707533 1
1300.12 868.152 1746.08 -0.881841 0.418356 -0.217566 1
1300.26 869.069 1746.12 -0.495932 0.811564 -0.308894 1
1301.23 883.383 1747.36 0.931734 -0.341302 0.124034 1
1301.13 878.561 1746.17 -0.821504 -0.354362 -0.446721 1
1301.14 878.598 1746.21 -0.535917 0.5713 0.621619 1
1301.16 878.535 1746.17 -0.0561823 -0.968079 -0.244267 1
1300.45 870.592 1746.5 0.866711 0.326788 -0.376858 1
1296.41 884.458 1746.98 -0.0246193 0.0735613 0.996987 1
