x z szz sxx pp state
611.13 1692.26 -431311 -370533 0 0
1133.77 1722.23 -906242 -620487 0 0
903.857 1678.21 -825780 -619163 0 0
1163.04 1763.07 -107001 -109408 0 0
748.972 1673.43 -374864 -391092 0 0
1194.29 1765.07 -153690 -179087 0 0
1164.64 1758.56 -100571 -105123 0 0
594.066 1702.07 -260461 -254405 0 0
610.19 1696.73 -426439 -366863 0 0
1149.21 1754.3 -191902 -163728 0 0
938.966 1682.44 -886198 -643157 0 0
1181.5 1761.69 -168529 -169523 0 0
1195.64 1765.12 -77370.2 -129324 0 0
1128.29 1750.27 -304716 -216661 0 0
962.397 1687.36 -823544 -604066 0 0
1186.6 1748.11 -496348 -350216 0 0
769.862 1676.8 -237149 -292448 0 0
894.281 1677.77 -803014 -605024 0 0
789.403 1680.42 -232911 -285869 0 0
1179.98 1741.39 -590553 -407210 0 0
784.469 1673.11 -350204 -371258 0 0
748.609 1682.1 -268386 -369308 0 0
1142.15 1724.85 -858801 -586039 0 0
1056.4 1712.17 -854464 -626565 0 0
669.728 1692.95 -318776 -296240 0 0
1162.07 1755.04 -155438 -137613 0 0
1192.28 1751 -469317 -310433 0 0
1159.12 1753.3 -213664 -170998 0 0
910.249 1686.84 -776663 -572004 0 0
899.47 1680.89 -819059 -612185 0 0
1143.63 1732.89 -730209 -483596 0 0
998.166 1694.58 -901135 -626533 0 0
583.689 1703.95 -251374 -261032 0 0
795.229 1679.2 -264351 -367948 0 0
1176.11 1763.87 -101135 -123838 0 0
774.998 1676.15 -347512 -370716 0 0
780.063 1681.64 -254056 -349748 0 0
1165.51 1731.57 -703957 -491012 0 0
1102.99 1731.95 -576245 -384919 0 0
1159.05 1743.86 -405400 -304995 0 0
604.566 1692.57 -406653 -355759 0 0
830.097 1687.88 -189538 -264157 0 0
706.577 1682.08 -367371 -364447 0 0
1048.08 1696.59 -1.04921e+06 -722578 0 0
1145.62 1723.8 -817682 -555210 0 0
648.45 1684.23 -618612 -498334 0 0
1184.34 1765.93 -88258.7 -123522 0 0
701.004 1683.52 -452488 -408104 0 0
779.665 1678.5 -254730 -342015 0 0
784.595 1671.35 -349506 -371446 0 0
600.067 1703.88 -270241 -255183 0 0
657.961 1682.43 -632225 -510226 0 0
1183.87 1757.72 -185684 -200544 0 0
1154.76 1763.62 -73788 -71008.5 0 0
884.239 1677.65 -758022 -580931 0 0
901.916 1685.77 -761096 -570230 0 0
1188.5 1755.17 -231904 -198109 0 0
1192.45 1757.68 -231105 -213389 0 0
573.034 1703.67 -244695 -279978 0 0
992.302 1698.86 -818739 -605557 0 0
1188.39 1757.6 -153925 -149216 0 0
742.832 1684.7 -156793 -283948 0 0
775.049 1674.4 -349698 -373001 0 0
1164.87 1744.89 -386499 -310982 0 0
1124.21 1729.91 -748613 -526183 0 0
1182.84 1761.9 -100641 -132553 0 0
1039.24 1695.47 -1.05485e+06 -730117 0 0
874.404 1677.22 -717490 -556469 0 0
805.12 1675.93 -375971 -373923 0 0
1144.22 1755.56 -117796 -80887.3 0 0
912.107 1685.55 -693467 -523787 0 0
817.399 1686.33 -181309 -276291 0 0
669.645 1685.89 -483557 -400991 0 0
1193.46 1754.31 -386711 -261402 0 0
679.84 1685.84 -486781 -411355 0 0
1072.42 1701.97 -1.03018e+06 -703832 0 0
932.93 1685.11 -901171 -651924 0 0
906.507 1693.04 -430909 -380346 0 0
1159.79 1728.18 -731465 -512671 0 0
1191.32 1760.01 -223398 -210639 0 0
1183.76 1760.15 -98950.8 -129569 0 0
583.874 1693.34 -357734 -313687 0 0
769.321 1670.41 -352880 -375021 0 0
566.664 1696.44 -234498 -241966 0 0
1191.58 1746.65 -534141 -362060 0 0
938.377 1680.62 -889506 -646801 0 0
678.061 1676.45 -639872 -552261 0 0
1042.08 1708.34 -813299 -546671 0 0
705.4 1675.75 -578069 -503168 0 0
1159.29 1761.28 -76992.5 -87852.2 0 0
653.065 1681.32 -627090 -505745 0 0
754.308 1672.75 -356625 -377136 0 0
563.172 1706.42 -104118 -101978 0 0
847.424 1685.8 -371750 -390297 0 0
600.602 1699.27 -262085 -251381 0 0
634.394 1688.43 -586811 -479134 0 0
751.009 1685.93 -147765 -298168 0 0
1023.59 1701.18 -891754 -638763 0 0
932.352 1701.2 -466008 -399855 0 0
682.781 1673.82 -618619 -516492 0 0
883.856 1697.2 -387628 -351145 0 0
696.716 1676.62 -598770 -505916 0 0
1157.21 1747.98 -327623 -260680 0 0
1269.79 1797.24 -85076.9 -75407.6 0 0
567.657 1693.78 -335872 -309489 0 0
1185.77 1763.45 -102690 -135122 0 0
701.233 1674.11 -587217 -505329 0 0
879.12 1674.6 -733539 -571778 0 0
1147.3 1751.88 -272946 -210401 0 0
1088.46 1707.2 -1.04133e+06 -704331 0 0
599.777 1708.02 -141600 -163494 0 0
1197.61 1753.91 -434746 -291495 0 0
588.183 1699.28 -261051 -262751 0 0
1194.47 1752.07 -391285 -277460 0 0
1190.75 1761.78 -155293 -162450 0 0
901.854 1679.88 -735906 -558450 0 0
1003.5 1693.43 -984356 -704684 0 0
1028.33 1695.87 -1.06251e+06 -744141 0 0
1189.88 1742.54 -514104 -372341 0 0
612.825 1706.62 -135315 -145984 0 0
1086.4 1708.66 -1.0596e+06 -716300 0 0
1151.13 1759.61 -66931.5 -55806.9 0 0
1142.31 1753.15 -196116 -133396 0 0
895.485 1679.57 -719840 -549037 0 0
1321.46 1823.42 -84588.9 -40212.3 0 0
888.399 1681.03 -695739 -532226 0 0
1095.24 1725.51 -683624 -479000 0 0
1188.44 1746.04 -470420 -332031 0 0
811.632 1689.14 -169843 -264033 0 0
790.301 1677.62 -343040 -363667 0 0
964.788 1683.86 -975019 -686795 0 0
936.49 1687.57 -810857 -592552 0 0
1109.65 1714.82 -1.01336e+06 -684498 0 0
659.439 1678.4 -626294 -506929 0 0
764.371 1682.02 -154490 -301058 0 0
890.683 1699.69 -407166 -356041 0 0
759.116 1684.96 -140857 -286226 0 0
1002.47 1692.93 -1.05763e+06 -740151 0 0
570.07 1706.99 -134874 -202927 0 0
973.976 1684.54 -998965 -700510 0 0
1144.3 1741.06 -509999 -356014 0 0
859.627 1680.19 -660761 -524579 0 0
1000.9 1687.05 -1.03113e+06 -714411 0 0
1006.4 1689.78 -1.0467e+06 -722939 0 0
849.489 1679.83 -614552 -494138 0 0
577.873 1698.03 -357134 -333581 0 0
1107.98 1731.7 -550783 -377640 0 0
927.52 1687.9 -810886 -592509 0 0
1094.79 1710.19 -1.04207e+06 -702372 0 0
638.493 1685.57 -602711 -491693 0 0
594.51 1694.94 -385889 -341817 0 0
1191.97 1746.06 -437008 -313482 0 0
1073.73 1718.51 -763457 -521565 0 0
861.468 1690.97 -322295 -328388 0 0
671.297 1680.94 -652187 -557644 0 0
695.523 1680.92 -539252 -461332 0 0
970.506 1686.68 -993664 -697375 0 0
1190.52 1749.56 -403330 -284262 0 0
1009.91 1688.05 -1.04604e+06 -720242 0 0
706.506 1679.48 -502600 -448916 0 0
1025.45 1714.8 -639219 -440057 0 0
1034.26 1696.52 -984981 -669217 0 0
644.235 1687.79 -537443 -420570 0 0
571.51 1701.51 -126580 -157662 0 0
976.338 1698.04 -780530 -531803 0 0
657.338 1686.88 -561079 -459582 0 0
651.059 1688.05 -551498 -450897 0 0
1138.84 1727.96 -833538 -567867 0 0
992.74 1686.64 -1.02636e+06 -719573 0 0
794.738 1685.31 -147915 -264343 0 0
848.177 1671.3 -584901 -491911 0 0
1014.45 1697.95 -841981 -573782 0 0
853.378 1674.53 -609861 -502396 0 0
1314.74 1818.78 -86244.7 -51392.2 0 0
