zid x y z sxx syy szz sxy sxz syz
30787 1431.37 997.173 1800.21 -1.03736e+06 -1.26807e+06 -2.66862e+06 126832 -207705 137973
30813 1352.06 861.868 1811.19 -548862 -575061 -1.06946e+06 -81224 -161010 52326.5
30845 1410.28 1033.36 1796.94 -995504 -1.17959e+06 -2.56828e+06 110713 -184966 135460
30897 1377.27 773.937 1828.54 -539101 -543164 -1.13602e+06 -104332 -157870 83576.6
30929 1356.87 863.502 1809.27 -505322 -618642 -1.14803e+06 -65802.7 -159821 52326.6
30973 1351.13 772.083 1823.76 -474852 -507864 -1.04524e+06 -74383.8 -173187 87906.6
31005 1367.26 905.247 1820.53 -396383 -466883 -928340 -6558.22 -131401 58151.4
31055 1370.95 1023.26 1838.04 -225683 -240560 -1.08906e+06 118128 -29436.5 50890
31091 1390.59 1037.77 1782.74 -1.17793e+06 -1.31406e+06 -2.70807e+06 96297 -227873 139340
31119 1372.07 978.054 1807.99 -656113 -723078 -1.6023e+06 79086.2 -159955 62869.5
31162 1369.33 1022.68 1819.21 -502737 -515602 -1.56485e+06 108959 -75421.9 67755.6
31207 1373.37 798.986 1783.76 -1.15078e+06 -1.225e+06 -2.17614e+06 -121670 -327059 124221
31251 1367.59 886.077 1778.28 -1.11668e+06 -1.24276e+06 -2.09409e+06 -90482.5 -321149 96966.2
31291 1409.98 976.141 1843.23 -248812 -363659 -1.13748e+06 138645 -43520.3 63575.6
31337 1381.02 1043.44 1781.74 -1.11916e+06 -1.26269e+06 -2.60736e+06 74120.9 -232311 132969
