x z
1301.15 1746.86
1300.95 1748.63
1296.44 1746.84
1300.66 1749.06
1301.25 1745.97
1298.18 1749.82
1296.81 1749.02
1299.02 1750.12
1300.47 1749.29
1296.7 1748.42
1300.1 1749.74
1298.62 1750.03
1296.66 1748.87
1297.46 1749.69
1297.84 1749.71
1300.38 1749.49
1300.2 1749.66
1296.6 1746.15
1297.14 1749.21
1296.5 1744.91
1296.45 1744.99
1300.93 1748.52
1300.48 1749.37
1296.92 1748.84
1300.49 1749.26
1296.69 1744.93
1301.21 1745.45
1299.11 1750.19
1296.65 1747.23
1300.66 1749.28
1296.67 1747.18
1301.3 1744.96
1296.42 1748
1301.18 1747.69
1296.55 1748.41
1296.93 1748.82
1296.85 1749.04
1299.81 1750
1301.06 1747.84
1296.4 1747.56
1296.56 1745.77
1299.38 1750.02
1301.28 1746.39
1301.26 1745.38
1296.46 1747.37
1300.52 1749.33
1301.12 1746.95
1297.83 1749.92
1298.55 1750.15
1297.9 1749.93
1297.51 1749.48
1298.87 1750.19
1301.22 1745.85
1300.29 1749.58
1300.94 1748.24
1301.26 1747.95
1301.26 1747.38
1296.89 1748.9
1299.88 1749.69
1296.55 1745.47
1300.99 1748.31
1296.86 1748.82
1298.33 1750.18
1298.24 1750.06
1299.28 1750.15
1297.86 1749.78
1296.96 1749.03
1299.16 1749.99
1297.65 1749.78
1296.68 1748.31
1301.16 1747.8
1301.21 1747.55
1296.54 1745.43
1301.26 1747.66
1296.77 1748.61
1300.95 1748.69
1301.03 1745.95
1301.23 1746.34
1301.14 1748.09
1301.23 1745.23
1301.01 1746.33
1299.67 1749.9
1301.08 1746.05
1299.54 1749.99
1298.32 1750.06
1300.9 1748.41
1300.89 1744.97
1296.39 1747.84
1297.77 1749.95
1301.17 1746.18
1300.94 1748.83
1299.77 1749.94
1298.3 1749.89
1299.59 1750.1
1300.84 1749.04
1298.83 1750.17
1301.2 1747.22
1297.7 1749.73
1297.66 1749.61
1300.95 1748.55
1301.2 1745.34
1300.23 1749.42
1297.37 1749.57
1296.59 1748.7
1296.63 1747.02
1296.6 1747.27
1301.01 1746.42
1301.14 1746.01
1301.26 1747.6
1299.78 1749.95
1299.2 1749.99
1296.48 1748.38
1297.59 1749.66
1300.28 1749.71
1299.68 1749.93
1300.96 1748.95
1301 1748.34
1301.15 1746.44
1300.1 1749.52
1296.69 1748.39
1301.05 1748.09
1296.45 1748.27
1300.45 1749.51
1297.75 1749.65
1298.29 1750.14
1297.26 1749.26
1298.61 1750.18
1297.21 1749.58
1301.02 1746.74
1296.6 1747.34
1301.14 1748.53
1301.1 1746.21
1297.17 1749.19
1301.14 1746.49
1301.2 1748.27
1296.45 1745.1
1297.78 1749.67
1296.68 1746.49
1297.21 1749.23
1300.74 1748.77
1298.46 1750.16
1296.62 1747.93
1301.27 1747.13
