x z szz sxx pp
834.677 1684.13 -324165 -330988 0
810.732 1676.74 -284773 -347456 0
671.773 1679.07 -459524 -385680 0
996.504 1692.45 -972535 -669035 0
1043.07 1698.36 -1.07844e+06 -751893 0
1239.07 1768.13 -384048 -288327 0
667.34 1691.56 -311060 -291052 0
1004.52 1689.4 -944330 -652731 0
736.551 1680.13 -274725 -327658 0
1168.35 1740.05 -506993 -353188 0
1165.15 1761.87 -108512 -113392 0
1128.85 1724.53 -868146 -585090 0
1075.72 1700.49 -978608 -671457 0
1195.61 1753.46 -217299 -174306 0
1142.94 1729.74 -612860 -407060 0
812.886 1679.32 -268174 -299272 0
1248.06 1773.98 -382468 -275721 0
1123.05 1717.16 -891800 -610251 0
1173.96 1766.09 -103778 -123077 0
1174.41 1753.74 -175079 -172467 0
675.199 1679.97 -469763 -395039 0
1166.03 1747.36 -243971 -204416 0
1129.25 1742.85 -466592 -304492 0
905.993 1683.77 -849958 -624272 0
1167.42 1733.1 -619297 -438724 0
1191.68 1756.2 -161723 -167847 0
735.32 1676.96 -487841 -472970 0
1161.18 1732.88 -757947 -522052 0
1251.27 1774.1 -401362 -286884 0
1167.98 1753.71 -399410 -307445 0
744.583 1676.25 -381327 -392510 0
942.771 1679.98 -899254 -653344 0
1037.66 1700.19 -1.08104e+06 -750116 0
625.108 1689.24 -550707 -449137 0
959.281 1694.5 -914465 -660421 0
901.699 1686.71 -833857 -609770 0
1172.6 1737.78 -630569 -442362 0
714.427 1671.67 -467439 -439704 0
820.127 1675.52 -285910 -312446 0
729.538 1675.96 -370053 -408284 0
789.894 1674.31 -351028 -369737 0
1249.6 1776.96 -373549 -266602 0
1165.98 1750.76 -235632 -197625 0
857.282 1680.76 -567937 -462409 0
729.157 1674.44 -370647 -407205 0
850.541 1680.5 -539528 -444482 0
711.274 1676.2 -498635 -458414 0
1113.27 1719.39 -935637 -621482 0
1184.62 1761.81 -240227 -221750 0
1222.96 1763.3 -360478 -232501 0
1143.73 1754.17 -119228 -81604.3 0
1182.15 1765.44 -171602 -175271 0
1126.24 1740.99 -406665 -258272 0
1160.92 1752 -407854 -280821 0
820.029 1672.16 -413629 -402098 0
1166.83 1741.75 -638720 -432777 0
1178.27 1744.5 -644265 -447153 0
1123.28 1713.3 -906845 -608453 0
908.374 1683.23 -768003 -575088 0
1027.67 1696.68 -1.00807e+06 -702671 0
966.906 1692.15 -678243 -506811 0
923.284 1675.39 -864220 -639521 0
820.464 1680.14 -415447 -386589 0
799.75 1674.65 -371570 -377387 0
1181.01 1743.94 -438913 -323662 0
1196.82 1748.03 -363339 -267865 0
973.335 1691.86 -943594 -660209 0
1070.55 1703.49 -1.04911e+06 -717013 0
735.586 1674.48 -268463 -314997 0
1014.76 1691.64 -992640 -681904 0
642.999 1688.92 -443932 -359726 0
1124.38 1730.27 -668622 -460283 0
814.964 1682.21 -305147 -360906 0
911.417 1687.15 -856272 -623591 0
1178.6 1741.09 -443100 -325392 0
966.271 1684.78 -923450 -656252 0
1175.64 1758.28 -89282.3 -115114 0
972.42 1685.25 -935903 -660093 0
1187.72 1765.85 -160061 -177993 0
627.028 1693.7 -410652 -342477 0
769.431 1676.68 -353407 -377278 0
609.192 1686.98 -419022 -367581 0
1185.25 1769.47 -91617.1 -131931 0
739.546 1671.27 -385190 -402905 0
949.803 1677.47 -887556 -648141 0
739.397 1672.73 -392157 -406865 0
630.747 1699.58 -395734 -326871 0
825.841 1681.56 -432894 -392085 0
967.326 1691.48 -926757 -652271 0
1067.52 1707.21 -991680 -668748 0
825.29 1673.39 -431862 -409216 0
1136.75 1743.95 -264690 -191735 0
1161.69 1756.81 -159998 -143404 0
1152.53 1747.66 -243724 -199634 0
1173.16 1762.45 -96858.4 -116889 0
993.015 1682.83 -986298 -692387 0
941.434 1683.88 -714214 -530221 0
810.859 1681 -392002 -372224 0
1161.15 1756.87 -76272.3 -90107.9 0
1042.63 1722.14 -690111 -498821 0
1138.46 1726.82 -936967 -639454 0
614.511 1701.61 -280217 -256274 0
1164.6 1762 -165570 -152585 0
1179.6 1750.32 -251662 -231765 0
1189.19 1757.83 -102480 -135389 0
1142.76 1731.92 -656077 -425082 0
1095.19 1713.86 -868890 -571198 0
1139.73 1720.74 -834000 -567980 0
620.72 1697.08 -308042 -269779 0
1181.74 1739.8 -466768 -330823 0
1126.76 1717.93 -871755 -593734 0
1158.83 1753.52 -122972 -118327 0
1109.21 1723.9 -841414 -555846 0
790.061 1670.65 -358551 -379068 0
847.635 1692.26 -429734 -365341 0
1157.6 1730.52 -650722 -453178 0
810.45 1675.2 -395476 -389357 0
1137.41 1725.35 -934947 -638770 0
769.593 1673.33 -351159 -374021 0
853.997 1678.18 -355751 -346348 0
1051.76 1699.04 -979419 -672908 0
955.451 1680.22 -902945 -655685 0
871.584 1682.24 -451593 -435108 0
1053.8 1706.33 -1.02404e+06 -710761 0
1149.51 1748.48 -408956 -284907 0
594.356 1697.93 -384674 -341885 0
1142.05 1723.03 -842905 -572366 0
998.17 1711.94 -643172 -462174 0
708.891 1680.03 -329519 -331062 0
824.959 1688.95 -304908 -299047 0
680.689 1675.53 -540584 -466823 0
760.238 1679.84 -346083 -370039 0
789.699 1667.5 -357878 -381716 0
953.292 1693.62 -862646 -622636 0
1106.91 1708.66 -936268 -635745 0
945.225 1694.21 -860600 -625190 0
1205.07 1757.61 -419026 -269861 0
1183.5 1757.44 -248474 -221481 0
1138.12 1753.52 -310563 -224100 0
1158.45 1746.77 -508798 -353666 0
599.524 1689.51 -398209 -353468 0
714.026 1672.36 -550562 -493354 0
1186.34 1761.68 -170567 -180222 0
1154.03 1756.43 -122395 -97336.6 0
1185.38 1750.93 -515140 -355609 0
950.975 1690.22 -717279 -520112 0
748.95 1669.15 -368854 -381555 0
724.852 1668.93 -504883 -465334 0
1169.59 1737.78 -503385 -346506 0
1007.29 1694.14 -1.06979e+06 -748922 0
744.531 1675.29 -277702 -363543 0
1207.05 1776.08 -100288 -137031 0
1187.3 1752.46 -429424 -299632 0
1141.46 1746.88 -288610 -214944 0
1305.32 1811.63 -88574.9 -58873.7 0
763.997 1669.52 -357758 -377339 0
1259.84 1800.72 -85933.7 -62790.1 0
746.983 1680.08 -264076 -319371 0
1001.84 1691.31 -1.05358e+06 -738964 0
957.948 1690.73 -767814 -576341 0
804.753 1670.49 -378161 -387525 0
1140.11 1726.6 -783564 -531651 0
675.044 1682.32 -576070 -506505 0
1098.91 1719.76 -849859 -563749 0
815.342 1685.93 -283675 -314253 0
1082.38 1716.39 -960210 -669583 0
1168.67 1730.08 -645081 -453078 0
1201.18 1768.97 -91830.7 -159624 0
1167.29 1736.73 -594898 -407990 0
998.262 1693.4 -1.05135e+06 -737395 0
1182.24 1752.26 -442924 -309001 0
625.038 1695.6 -400286 -332855 0
1373.96 1858.1 -57311.1 -2020.9 0
744.822 1678.05 -273896 -359186 0
993.938 1696.03 -978007 -673369 0
960.77 1683.01 -866534 -636860 0
1042.24 1693.98 -1.04093e+06 -715090 0
1130.61 1722.78 -781184 -523669 0
615.609 1699.15 -297503 -269545 0
1183.25 1754.71 -171301 -180771 0
1151.45 1763.85 -117826 -99398.8 0
863.836 1682.58 -434766 -396079 0
1205.17 1749.18 -451672 -323563 0
788.639 1673.97 -244736 -299810 0
1182.69 1739.51 -558226 -396059 0
618.276 1695.09 -291782 -274066 0
1056.4 1704.32 -885394 -600660 0
1165.69 1737.37 -748260 -511448 0
759.771 1674.3 -274189 -382510 0
693.916 1679.49 -608346 -509736 0
976.862 1688.78 -874900 -622394 0
1050.85 1709.95 -787453 -543003 0
1147.69 1755.08 -253028 -187090 0
948.112 1687.42 -901696 -652383 0
701.278 1686.4 -445122 -402011 0
957.57 1688.72 -873095 -654713 0
991.597 1707.81 -705760 -505224 0
1171.47 1736.29 -633980 -444929 0
1175.45 1736.7 -531907 -388117 0
924.88 1672.67 -848225 -632389 0
1184.08 1757.15 -101998 -129149 0
1364.48 1853.56 -63817.7 -1525.18 0
834.981 1692.44 -329387 -320662 0
602.624 1705.47 -266751 -257349 0
1158.71 1733.55 -787600 -541770 0
1181.29 1759.24 -250018 -225153 0
1188.17 1752.95 -234115 -211639 0
967.206 1690.55 -996169 -697737 0
880.296 1685.62 -749509 -570001 0
1194.98 1760.97 -176847 -196025 0
1187.33 1756.1 -427547 -296438 0
611.13 1692.26 -431311 -370533 0
1156.1 1726.69 -713069 -500009 0
1133.77 1722.23 -906242 -620487 0
726.154 1679.95 -244594 -324332 0
1203.06 1761.12 -130395 -159567 0
1092.12 1718.93 -896851 -587514 0
972.683 1693.51 -1.01856e+06 -708868 0
1006.38 1685.53 -1.0028e+06 -696398 0
774.903 1669.71 -354900 -376045 0
903.857 1678.21 -825780 -619163 0
652.899 1685.93 -453751 -360296 0
1169.8 1739.26 -668989 -464573 0
1163.04 1763.07 -107001 -109408 0
1194.44 1744.83 -437431 -322750 0
1197.91 1763.79 -210878 -189620 0
1153.47 1753.35 -112398 -87390.4 0
586.284 1705.78 -232633 -239647 0
748.972 1673.43 -374864 -391092 0
950.633 1691.83 -950354 -673694 0
1189.39 1748.4 -566618 -385625 0
1194.29 1765.07 -153690 -179087 0
1164.64 1758.56 -100571 -105123 0
594.066 1702.07 -260461 -254405 0
725.27 1677.92 -516755 -477231 0
1135 1741.01 -540423 -346041 0
1070.56 1702.17 -934726 -632791 0
1172.2 1754.81 -99981.2 -124264 0
610.19 1696.73 -426439 -366863 0
1193.12 1755.1 -144188 -132540 0
1149.21 1754.3 -191902 -163728 0
938.966 1682.44 -886198 -643157 0
1181.5 1761.69 -168529 -169523 0
1020.15 1687.95 -1.01554e+06 -698610 0
1195.64 1765.12 -77370.2 -129324 0
976.192 1691.09 -1.01877e+06 -710374 0
1128.29 1750.27 -304716 -216661 0
890.32 1670.37 -737339 -581107 0
804.788 1668.66 -378998 -389115 0
1165.24 1742.25 -380666 -312004 0
962.397 1687.36 -823544 -604066 0
1131.37 1726.28 -894202 -595023 0
1186.6 1748.11 -496348 -350216 0
769.862 1676.8 -237149 -292448 0
749.304 1667.66 -362976 -378433 0
794.518 1672.62 -269776 -373663 0
894.281 1677.77 -803014 -605024 0
1178.59 1735.41 -587208 -431322 0
1001.49 1691.22 -858982 -597743 0
632.601 1700.64 -344856 -293658 0
789.403 1680.42 -232911 -285869 0
1115.44 1736.89 -609761 -392417 0
1179.98 1741.39 -590553 -407210 0
784.469 1673.11 -350204 -371258 0
815.292 1689.87 -299009 -334177 0
748.609 1682.1 -268386 -369308 0
1142.15 1724.85 -858801 -586039 0
582.419 1710.3 -119494 -169988 0
1056.4 1712.17 -854464 -626565 0
862.048 1697.21 -402839 -365107 0
1099.88 1719.93 -967155 -650255 0
1153.05 1729.98 -820097 -565487 0
826.878 1681.27 -175658 -270288 0
669.728 1692.95 -318776 -296240 0
784.825 1678.17 -339601 -362650 0
1162.07 1755.04 -155438 -137613 0
587.809 1695.39 -243189 -258165 0
1040.63 1703.81 -1.02755e+06 -701916 0
770.842 1682.69 -235178 -293870 0
1192.28 1751 -469317 -310433 0
1159.12 1753.3 -213664 -170998 0
910.249 1686.84 -776663 -572004 0
1193.13 1754.86 -473042 -314877 0
808.851 1683.17 -160482 -263037 0
899.47 1680.89 -819059 -612185 0
1253.57 1780.95 -458187 -286580 0
1143.63 1732.89 -730209 -483596 0
880.805 1669.77 -704175 -559849 0
906.339 1685.86 -844547 -619588 0
998.166 1694.58 -901135 -626533 0
1049.17 1699.79 -906506 -617037 0
583.689 1703.95 -251374 -261032 0
795.229 1679.2 -264351 -367948 0
1170.48 1749.72 -202829 -189031 0
1144.42 1722.63 -810129 -550861 0
584.951 1701.63 -359830 -330925 0
730.532 1680.77 -162453 -266972 0
1148.64 1731.73 -796153 -537752 0
