x y z state
1295.61 870.628 1746.11 1
1295.4 869.245 1747.42 1
1295.44 869.259 1747.43 1
1296.38 876.322 1746.25 1
1296.14 873.618 1745.34 1
1299.77 865.716 1746.21 1
1295.44 868.644 1746.24 1
1295.44 868.619 1746.28 1
1300.77 894.174 1747.73 1
1296.21 874.585 1745.35 1
1295.49 869.649 1745.62 1
1296.07 872.681 1747.11 1
1294.18 908.99 1750.51 1
1295.83 872.334 1746.21 1
1296.13 874.093 1745.47 1
1296.07 874.109 1745.52 1
1301.01 877.138 1746.03 1
1296.14 876.206 1746.22 1
1296.18 876.245 1746.23 1
1296.16 876.134 1745.96 1
1299.21 862.894 1745.31 1
1295.62 869.905 1745.34 1
1296.08 873.527 1745.34 1
1301 879.451 1745.85 1
1301.02 879.421 1745.83 1
1300.31 896.492 1747.54 1
1301.15 879.334 1745.51 1
1301.16 879.399 1745.57 1
1301.18 879.362 1745.51 1
1301.18 879.336 1745.55 1
1301.11 879.387 1745.54 1
1296.39 886.969 1747.16 1
1295.24 867.964 1745.54 1
1296.18 876.107 1746.11 1
1296.14 876.078 1746.05 1
1296.14 876.127 1746.06 1
1295.83 871.226 1746.27 1
1301.08 887.083 1748.05 1
1298.64 861.223 1745.48 1
1300.45 896.483 1747.44 1
1300.51 896.499 1747.45 1
1296.25 877.427 1747.95 1
1296 873.15 1746.22 1
1295.72 869.109 1748.37 1
1299.62 864.888 1745.31 1
1298.84 861.721 1745.37 1
1298.77 861.706 1745.37 1
1296.13 874.746 1746.07 1
1301.01 878.419 1746.42 1
1301 878.451 1746.45 1
1295.98 868.89 1748.4 1
1295.97 868.96 1748.37 1
1296.04 872.69 1746.52 1
1298.5 901.471 1750.51 1
1299.9 867.539 1746.21 1
1295.93 872.795 1746.16 1
1295.79 895.383 1747.06 1
1296.44 884.688 1747.36 1
1295.88 871.743 1746.16 1
1296.18 875.385 1745.66 1
1301.22 886.176 1747.31 1
1295.78 871.732 1745.87 1
1301.05 876.994 1746.41 1
1301.23 880.123 1745.59 1
1295.24 868.029 1746.61 1
1298.69 861.374 1745.33 1
1295.84 871.856 1746.06 1
1301.15 878.973 1745.77 1
1301.18 878.921 1745.82 1
1296.29 892.068 1748.06 1
1300.94 888.001 1747.94 1
1300.98 887.958 1747.96 1
1300.54 894.558 1748.06 1
1295.25 868.246 1745.57 1
1299.35 879.538 1749.69 1
1299.82 867.416 1746.22 1
1295.85 872.095 1745.36 1
1295.88 872.06 1745.37 1
1301.14 878.671 1745.33 1
1301.09 878.651 1745.31 1
1295.86 871.02 1746.22 1
1301.02 878.102 1745.45 1
1301.06 878.063 1745.51 1
1301.01 878.095 1745.51 1
1298.95 862.107 1745.67 1
1299 862.138 1745.71 1
1299.99 867.383 1745.77 1
1296.25 877.193 1745.41 1
1295.97 874.036 1745.37 1
1296.14 873.764 1745.52 1
1296.15 873.765 1745.58 1
1294.59 864.415 1745.31 1
1298.3 909.058 1748.68 2
1298.31 909.114 1748.65 1
1296.47 880.69 1747.42 1
1300.8 893.729 1748.06 1
1300.81 893.732 1748.13 1
1300.83 893.689 1748.12 1
1298.92 861.349 1745.69 1
1300.92 876.969 1745.62 1
1296.18 876.691 1746.01 1
1296.21 876.686 1746.04 1
1301.16 887.88 1747.79 1
1296.07 874.715 1745.72 1
1296.07 874.751 1745.7 1
1296.07 872.476 1746.32 1
1296.07 872.475 1746.39 1
1296.03 872.46 1746.36 1
1301.08 877.271 1746.3 1
1295.8 872.359 1746.58 1
1295.33 868.565 1745.33 1
1296.24 877.482 1745.97 1
1300.31 869.517 1745.59 1
1296.1 892.047 1748.05 1
1301.04 877.212 1745.37 1
1301 877.202 1745.39 1
1301 887.77 1747.84 1
1300.86 877.184 1745.31 1
1299.16 862.62 1745.6 1
1299 861.797 1747.04 1
1296.13 874.252 1746.55 1
1296.19 874.283 1746.6 1
1296.13 874.291 1746.54 1
1301.06 888.031 1747.63 1
1295.31 868.388 1746.42 1
1295.31 868.378 1746.48 1
1296.15 875.952 1746.97 1
1296.18 873.517 1745.74 1
1296.36 875.595 1745.69 1
1295.7 870.226 1745.3 1
1296.27 877.549 1745.9 1
1296.26 877.578 1745.93 1
1300.92 878.412 1745.64 1
1295.71 870.616 1745.39 1
1295.54 870.374 1746.26 1
