x y z state theta
1300.64 871.905 1745.67 1 333.343
1300.56 896.654 1745.72 1 333.512
1299.68 866.83 1746.44 1 338.476
1300.98 875.797 1747.01 1 352.928
1299.66 865.29 1747.38 1 357.439
1298.74 860.611 1745.67 1 313.567
1300.88 893.255 1745.93 1 337.911
1300.88 875.151 1747.52 1 0.285808
1299.27 904.782 1745.74 1 322.317
1299.88 866.824 1746.95 1 349.177
1296.16 891.509 1748.15 1 142.32
1295.16 909.926 1751.08 1 117.157
1293.89 906.814 1746.66 1 195.056
1298.71 904.321 1749.66 1 51.6587
1298.75 860.578 1747.01 1 344.406
1298.72 860.586 1747.03 1 344.73
1300.82 873.828 1746.33 1 343.02
1301.11 889.164 1748.25 1 10.3725
1301.08 889.16 1748.21 1 9.84519
1300.47 871.365 1747.76 1 4.32338
1301.23 882.155 1747.85 1 4.71681
1300.68 872.269 1745.44 1 330.78
1300.68 872.311 1745.43 1 330.629
1300.67 872.253 1745.38 1 329.989
1293.63 908.887 1746.91 1 189.96
1301.12 889.28 1747.31 1 357.394
1300.5 894.391 1748.26 1 12.2803
1300.69 895.2 1746.34 1 342.538
1300.8 874.244 1747.65 1 2.26577
1300.84 874.178 1746.23 1 341.746
1300.83 874.134 1746.2 1 341.33
1296.21 908.565 1751.04 1 102.564
1301.04 876.64 1746.55 1 346.829
1293.31 909.174 1747.93 1 173.353
1300.3 869.21 1746.12 1 337.261
1301.22 886.147 1747.24 1 356.444
1300.06 868.357 1746.23 1 337.417
1300.07 867.786 1745.97 1 333.521
1300.69 894.684 1748.5 1 15.1208
1300.65 894.673 1748.55 1 16.0786
1300.65 874.36 1748.36 1 13.3004
1298.93 861.394 1746.05 1 323.22
1300.78 873.593 1745.48 1 331.85
1300.97 878.442 1745.3 1 331.038
1301.01 878.496 1745.34 1 331.644
1300.94 878.484 1745.32 1 331.053
1300.82 873.764 1746.12 1 340.147
1293.16 909.847 1747.96 1 173.194
1299.25 863.055 1745.44 1 317.551
1300.21 868.628 1746.81 1 347.875
1300.84 893.44 1746.58 1 346.571
1299.65 865.232 1746.76 1 344.351
1299.67 865.221 1746.7 1 343.303
1300.51 896.822 1747.4 1 358.448
