x z r
1301.2 1748.32 4.27612
1301.22 1748.2 4.28066
1296.49 1745.75 1.82513
1296.92 1748.78 1.28414
1297.72 1749.8 2.40722
1296.54 1745.11 2.437
1296.69 1744.96 2.56228
1301.02 1748.19 4.08012
1296.5 1748.34 0.976147
1296.53 1745.25 2.29681
1296.77 1748.42 0.946614
1301.08 1745.98 4.35443
1296.55 1746.92 0.733421
1296.47 1747.39 0.543791
1301.1 1747.6 4.10517
1296.58 1748.24 0.849258
1297.16 1749.43 1.93473
1300.29 1749.44 3.82352
1296.49 1746.41 1.20538
1301.13 1745.61 4.54151
1300.32 1749.35 3.79918
1296.78 1749.1 1.61349
1299.84 1749.81 3.66696
1296.45 1745 2.56274
1299.2 1750.16 3.45512
1299.9 1749.97 3.80974
1301.2 1746.89 4.24477
1301.02 1746.32 4.18683
1301.01 1746.5 4.13461
1297.21 1749.47 1.97973
1301.12 1746.82 4.17092
1297.01 1749.28 1.77557
1296.57 1748.46 1.05556
1297.64 1749.83 2.41873
1299.95 1749.88 3.79112
1296.41 1746.7 0.995793
1298.46 1750.13 3.01161
1298.53 1750.06 2.9833
1300.55 1749.49 4.0685
1298.07 1749.87 2.601
1296.43 1745.5 2.08333
1296.57 1748.68 1.25915
1300.96 1745.24 4.56096
1296.63 1747.69 0.418557
1296.93 1749.29 1.78935
1301 1745.18 4.62499
1296.68 1746.59 0.968018
1300.01 1749.9 3.84889
1298.87 1749.95 3.07728
1296.62 1746.06 1.48735
1296.69 1745.95 1.5759
1296.8 1748.49 1.00994
1301.05 1748.47 4.16492
1300.78 1748.7 3.96977
1296.5 1745.35 2.20783
1297.36 1749.53 2.06496
1300.67 1749.34 4.10711
1300 1749.59 3.65574
1296.78 1748.95 1.46492
1300.98 1747.99 4.00744
1296.64 1745.27 2.25699
1296.41 1748.06 0.815703
1297.25 1749.25 1.76638
1301.3 1745.03 4.95981
1297.45 1749.56 2.10721
1299.07 1750.1 3.32428
1299.85 1749.69 3.59291
1301.23 1746.71 4.30354
1296.53 1747.58 0.471938
1301.12 1745.04 4.79566
1296.93 1749.07 1.57316
1298.22 1750.02 2.79632
1296.55 1746.04 1.52699
1300.65 1748.96 3.927
1300.98 1748.63 4.13387
1301.12 1745.33 4.6565
1301.14 1745.66 4.53385
1301.23 1746.52 4.33906
1296.82 1748.92 1.42688
1296.41 1746.66 1.02629
1296.68 1746.77 0.797877
1301.28 1746.35 4.43234
1301.07 1747.67 4.07189
1297.29 1749.32 1.84497
1301.02 1745.92 4.31943
1298.55 1749.92 2.8752
1296.67 1747.06 0.553636
1296.86 1749.23 1.73345
1301.22 1745.05 4.88336
1300.99 1747.89 4.00845
1296.54 1745.29 2.2624
1296.46 1747.6 0.548053
1298.74 1749.95 3.00557
1296.43 1747.44 0.573541
1300.61 1749.33 4.04623
1301.09 1748.24 4.15526
1296.65 1747.8 0.462405
1296.6 1747.06 0.591791
1296.8 1748.68 1.19224
1298.86 1750.03 3.14154
1300.89 1748.7 4.07297
1296.54 1747.98 0.663436
1296.63 1746.58 0.992396
1298.73 1749.94 2.99018
1297.09 1749.18 1.68634
1301.21 1746.41 4.35162
1298.9 1750.05 3.17954
1301.24 1747.43 4.23735
1297.51 1749.65 2.20727
1299.92 1749.95 3.80676
1297.07 1749.36 1.8592
1300.87 1748.71 4.05712
1300.53 1749.5 4.05873
1300.99 1748.52 4.11743
1296.47 1747 0.730737
1296.64 1748.69 1.24579
1300.82 1748.95 4.08798
1296.52 1747.37 0.498916
1299.97 1749.91 3.82356
1298.73 1750.16 3.17668
1297.2 1749.56 2.07112
1297.1 1749.5 1.99784
1300.87 1749.1 4.18771
1301.08 1746.48 4.20558
1296.56 1746.5 1.09014
1296.54 1747.42 0.465324
1299.26 1750.18 3.50347
1301.15 1747.79 4.15642
1301.01 1748.42 4.11274
1298.36 1750.12 2.95284
1299.19 1749.94 3.28028
1296.67 1747.95 0.563165
1297.84 1749.85 2.49025
1297.98 1749.86 2.55405
1296.43 1746.02 1.58867
1301.01 1746.64 4.10164
1301.15 1747.58 4.14631
1296.4 1747.48 0.599274
1300.89 1748.92 4.14238
1299.97 1749.8 3.75973
1301.27 1747.22 4.28226
1301.21 1748.02 4.2398
1298.54 1750.15 3.06637
1296.86 1745.02 2.48584
1296.54 1746.56 1.04302
1300.72 1749.13 4.06149
1297.36 1749.63 2.15694
1300.88 1748.44 3.99623
1300.98 1748.05 4.01687
1296.49 1745.66 1.91221
1301.2 1746.36 4.34635
1300.3 1749.35 3.77877
1296.59 1748.22 0.829123
1298.9 1750.07 3.19782
1300.55 1749.08 3.88887
1300.93 1748.52 4.06117
