x y z
1301.1 889.88 1748.39
1301.07 890.48 1748.36
1301.07 890.33 1748.41
1301.05 890.931 1748.38
1301.05 890.781 1748.43
1301.02 891.381 1748.4
1301.02 891.231 1748.44
1300.98 891.832 1748.41
1300.99 891.682 1748.46
1300.95 892.282 1748.43
1300.95 892.132 1748.48
1300.91 892.733 1748.45
1300.92 892.583 1748.5
1300.88 893.183 1748.46
1300.88 893.033 1748.51
1300.84 893.634 1748.48
1300.84 893.483 1748.53
1300.8 894.084 1748.5
1300.8 893.934 1748.55
1300.75 894.535 1748.51
1300.76 894.384 1748.56
1300.71 894.985 1748.53
1300.71 894.835 1748.58
1300.67 895.285 1748.6
1301.24 885.075 1748.32
1301.23 884.925 1748.37
1301.23 885.526 1748.34
1301.22 885.375 1748.39
1301.22 885.976 1748.36
1301.21 885.826 1748.41
1301.21 886.426 1748.37
1301.21 886.276 1748.42
1301.2 886.877 1748.39
1301.19 886.727 1748.44
1301.19 887.327 1748.41
1301.18 887.177 1748.46
1301.17 887.778 1748.42
1301.17 887.628 1748.47
1301.16 888.228 1748.44
1301.15 888.078 1748.49
1301.14 888.679 1748.46
1301.13 888.529 1748.51
1301.12 889.129 1748.47
1301.11 888.979 1748.52
1301.09 889.58 1748.49
1301.09 889.429 1748.54
1301.07 890.03 1748.51
1301.06 889.88 1748.56
1301.04 890.48 1748.53
1301.04 890.33 1748.57
1301.01 890.931 1748.54
1301.01 890.781 1748.59
1300.98 891.381 1748.56
1300.98 891.231 1748.61
1300.95 891.832 1748.58
1300.95 891.682 1748.62
1300.92 892.282 1748.59
1300.92 892.132 1748.64
1300.88 892.733 1748.61
1300.88 892.583 1748.66
1300.84 893.183 1748.63
1300.84 893.033 1748.68
1300.8 893.634 1748.64
1300.81 893.483 1748.69
1300.76 894.084 1748.66
1300.76 893.934 1748.71
1300.72 894.535 1748.68
1300.72 894.384 1748.73
1300.68 894.985 1748.7
1300.68 894.835 1748.74
1300.63 895.435 1748.71
1300.63 895.285 1748.76
1300.58 895.736 1748.78
1301.2 885.075 1748.48
1301.18 884.925 1748.53
1301.19 885.526 1748.5
1301.18 885.375 1748.55
1301.18 885.976 1748.52
1301.17 885.826 1748.57
1301.17 886.426 1748.53
1301.16 886.276 1748.58
1301.16 886.877 1748.55
1301.15 886.727 1748.6
1301.15 887.327 1748.57
1301.14 887.177 1748.62
1301.13 887.778 1748.59
1301.12 887.628 1748.63
1301.11 888.228 1748.6
1301.1 888.078 1748.65
1301.09 888.679 1748.62
1301.08 888.529 1748.67
1301.07 889.129 1748.64
1301.06 888.979 1748.68
1301.05 889.58 1748.65
1301.04 889.429 1748.7
1301.03 890.03 1748.67
1301.02 889.88 1748.72
1301 890.48 1748.69
1300.99 890.33 1748.73
1300.97 890.931 1748.7
1300.96 890.781 1748.75
1300.94 891.381 1748.72
1300.93 891.231 1748.77
1300.91 891.832 1748.74
1300.9 891.682 1748.79
1300.88 892.282 1748.75
1300.87 892.132 1748.8
1300.84 892.733 1748.77
1300.83 892.583 1748.82
1300.8 893.183 1748.79
1300.8 893.033 1748.84
1300.76 893.634 1748.81
1300.76 893.483 1748.85
1300.72 894.084 1748.82
1300.72 893.934 1748.87
1300.68 894.535 1748.84
1300.67 894.384 1748.89
1300.63 894.985 1748.86
1300.63 894.835 1748.9
1300.58 895.435 1748.87
1300.58 895.285 1748.92
1300.54 895.886 1748.89
1300.53 895.736 1748.94
1300.48 896.186 1748.96
1301.14 885.075 1748.64
1301.12 884.925 1748.69
1301.14 885.526 1748.66
1301.12 885.375 1748.71
1301.13 885.976 1748.68
1301.11 885.826 1748.72
1301.12 886.426 1748.69
1301.1 886.276 1748.74
1301.11 886.877 1748.71
1301.09 886.727 1748.76
1301.09 887.327 1748.73
1301.08 887.177 1748.77
1301.08 887.778 1748.74
1301.06 887.628 1748.79
1301.06 888.228 1748.76
1301.05 888.078 1748.81
1301.04 888.679 1748.78
1301.03 888.529 1748.82
1301.02 889.129 1748.79
1301.01 888.979 1748.84
1301 889.58 1748.81
1300.99 889.429 1748.86
1300.97 890.03 1748.83
1300.96 889.88 1748.87
1300.95 890.48 1748.84
1300.93 890.33 1748.89
1300.92 890.931 1748.86
1300.91 890.781 1748.91
1300.89 891.381 1748.88
1300.88 891.231 1748.92
1300.86 891.832 1748.9
1300.85 891.682 1748.94
1300.82 892.282 1748.91
1300.81 892.132 1748.96
1300.79 892.733 1748.93
1300.78 892.583 1748.98
