x z sxx syy szz sxy sxz syz
1305.81 1761.83 -851037 -992401 -1.67795e+06 -180869 -328870 59410.1
1305.81 1761.84 -852532 -997476 -1.68453e+06 -181658 -330033 59340.3
1305.81 1761.84 -851471 -998872 -1.68456e+06 -181906 -330614 59105.9
1305.8 1761.85 -851797 -1.00106e+06 -1.68755e+06 -182540 -331256 58975
1306.18 1762.65 -847993 -986650 -1.67036e+06 -178530 -327414 59734.2
1306.18 1762.66 -848162 -988395 -1.67246e+06 -178997 -327937 59607.1
1306.18 1762.66 -846321 -987123 -1.6659e+06 -178953 -328033 59189.1
1306.17 1762.67 -850538 -995054 -1.67696e+06 -179149 -329583 59387.1
1306.17 1762.67 -850913 -997225 -1.68e+06 -179776 -330201 59260.6
1306.56 1763.52 -846778 -982586 -1.66181e+06 -175643 -326367 60004.4
1306.56 1763.53 -845580 -983459 -1.66094e+06 -175693 -326793 59783.5
1306.56 1763.53 -845883 -985326 -1.66341e+06 -176210 -327322 59662.2
1306.56 1763.54 -846245 -987324 -1.66617e+06 -176777 -327879 59539.1
1306.56 1763.54 -845980 -987116 -1.66323e+06 -177181 -328069 59233.3
1306.96 1764.43 -843068 -975552 -1.64827e+06 -172501 -324404 60130.4
1306.96 1764.44 -841899 -976321 -1.64732e+06 -172513 -324782 59919.5
1306.96 1764.44 -842230 -978137 -1.6498e+06 -173011 -325278 59804.1
1306.96 1764.45 -842630 -980101 -1.65259e+06 -173564 -325805 59686.8
1306.96 1764.45 -843091 -982196 -1.65566e+06 -174166 -326359 59567.6
1307.39 1765.39 -831484 -959544 -1.61906e+06 -168022 -320940 59825.8
1307.39 1765.4 -831785 -961178 -1.62123e+06 -168438 -321384 59719.6
1307.39 1765.4 -836150 -967985 -1.63245e+06 -169698 -323384 59800.4
1307.39 1765.4 -836571 -969919 -1.63529e+06 -170234 -323880 59687.4
1307.38 1765.4 -837062 -971999 -1.63843e+06 -170823 -324405 59572.4
1307.83 1766.4 -823687 -947549 -1.59797e+06 -164877 -318774 59648.7
1307.83 1766.4 -823966 -949086 -1.60004e+06 -165263 -319178 59545.8
1307.83 1766.4 -827890 -954985 -1.60883e+06 -166311 -319984 59623.4
1307.83 1766.41 -828351 -956885 -1.6117e+06 -166826 -320449 59518.1
1307.83 1766.41 -828884 -958938 -1.6149e+06 -167395 -320942 59410.7
1308.3 1767.46 -821399 -941838 -1.58585e+06 -161272 -314842 59284.2
1308.3 1767.46 -821648 -943266 -1.58778e+06 -161623 -315205 59184.9
1308.3 1767.46 -821987 -944886 -1.59016e+06 -162044 -315597 59083.2
1308.3 1767.46 -822408 -946683 -1.59293e+06 -162526 -316017 58978.9
1308.3 1767.46 -822902 -948638 -1.59604e+06 -163064 -316462 58872
1304.44 1761.06 -849187 -999247 -1.68281e+06 -184763 -330624 57986
1304.73 1761.82 -850371 -986148 -1.66703e+06 -179864 -326882 59225.3
1304.73 1761.83 -848376 -986437 -1.6653e+06 -179979 -327345 58994.5
1304.73 1761.84 -849930 -991595 -1.6721e+06 -180769 -328510 58937.1
1304.73 1761.84 -848863 -992962 -1.67208e+06 -180997 -329063 58706.1
1304.73 1761.85 -849222 -995183 -1.67518e+06 -181624 -329690 58583.2
1305.04 1762.65 -843641 -976304 -1.64734e+06 -176265 -324864 59201.2
1305.04 1762.66 -843863 -978130 -1.64967e+06 -176741 -325386 59085.5
1305.04 1762.66 -842724 -979238 -1.64923e+06 -176884 -325864 58859.6
1305.03 1762.67 -844457 -984552 -1.65654e+06 -177759 -327044 58807.2
1305.03 1762.67 -844894 -986800 -1.65977e+06 -178393 -327656 58689
1305.36 1763.52 -840747 -970717 -1.63699e+06 -174312 -324175 59372.5
1305.36 1763.53 -841002 -972514 -1.63934e+06 -174778 -324670 59259.6
1305.35 1763.53 -839901 -973578 -1.63892e+06 -174908 -325119 59039.3
1305.35 1763.54 -840339 -975724 -1.64203e+06 -175506 -325684 58923.8
1305.35 1763.54 -840836 -978000 -1.64542e+06 -176154 -326276 58805.9
1305.69 1764.43 -835926 -961899 -1.61993e+06 -171393 -322396 59372.3
1305.69 1764.44 -834746 -962678 -1.61904e+06 -171426 -322764 59160.7
1305.69 1764.44 -835168 -964671 -1.62195e+06 -171971 -323272 59052.3
1305.69 1764.45 -835669 -966837 -1.62522e+06 -172581 -323814 58941.1
1305.69 1764.45 -836242 -969157 -1.62882e+06 -173247 -324387 58827.3
