x z pbsig pbstate
1297.38 1749.75 -190.537 3
1296.43 1747.27 2701.71 3
1301.3 1745.46 161.768 3
1301.3 1745.53 -91.6627 3
1296.55 1746.63 -83.4806 3
1296.51 1746.62 2627.93 3
1296.53 1746.59 94.5431 3
1301.19 1747.11 320.371 3
1301.24 1747.12 2011.72 3
1300.39 1749.55 496.597 3
1300.38 1749.51 8.69878 3
1300.43 1749.51 -35.8947 3
1300.39 1749.5 91.4034 3
1299.13 1750.12 26.5209 3
1299.08 1750.15 739.944 3
1299.11 1750.15 246.091 3
1301.12 1745.79 110.911 3
1301.13 1745.76 -330.704 3
1296.57 1744.91 -10.4001 3
1296.63 1744.9 1028.19 3
1296.65 1744.91 805.228 3
1296.55 1745.35 266.175 3
1296.66 1745.58 -32.7916 3
1301.21 1746.45 245.353 3
1301.21 1746.41 -90.7386 3
1301.24 1746.45 1172.42 3
1301.21 1746.4 -73.9031 3
1296.49 1747.16 375.918 3
1296.47 1747.13 479.909 3
1296.68 1746.41 180.311 3
1296.64 1746.39 202.18 3
1296.66 1746.38 74.9696 3
1296.46 1745.34 2985.47 3
1296.43 1745.4 519.584 3
1296.45 1745.36 1653.29 3
1301.17 1745.48 -138.99 3
1301.15 1745.45 -357.522 3
1301.14 1745.51 -67.3864 3
1301.12 1745.45 118.316 3
1301.11 1745.5 -26.9255 3
1296.6 1747.86 112.476 3
1296.64 1747.88 -316.952 3
1296.61 1747.88 379.335 3
1301.25 1747.56 2853.18 3
1301.25 1747.53 636.472 3
1301.24 1747.56 394.3 3
1301.2 1747.53 830.362 3
1298.23 1750.11 548.428 3
1299.47 1750.11 -7.98978 3
1299.42 1750.09 495.031 3
1299.42 1750.09 306.206 3
1296.46 1746.81 97.1387 3
1296.46 1746.83 -0.478828 3
1296.43 1746.76 38.2619 3
1296.43 1746.8 928.395 3
1301.07 1745.32 -2.24565 3
1301.06 1745.32 29.2749 3
1301.08 1745.28 -246.032 3
1301.08 1745.28 -178.89 3
1301.03 1745.27 -353.367 3
1301.04 1745.29 121.029 3
